WikiId,First name,Last name,Street count
Jan_Dzierżoni,Jan,Dzierżoni,17
Juliusz_Osterwa,Juliusz,Osterwa,17
Józef_Tischner,Józef,Tischner,17
Aleksander_Kamiński,Aleksander,Kamiński,17
Stanisław_Taczak,Stanisław,Taczak,17
Jack_Soplica,Jack,Soplica,17
Franciszek_Karpiński,Franciszek,Karpiński,17
Marka_Hłasko,Marka,Hłasko,17
Wanda_Rutkiewicz,Wanda,Rutkiewicz,17
Jan_Lechoń,Jan,Lechoń,17
Jerzy_Bajan,Jerzy,Bajan,17
Adam_Naruszewicz,Adam,Naruszewicz,17
Teofil_Lenartowicz,Teofil,Lenartowicz,17
Zygmunt_Wróblewski,Zygmunt,Wróblewski,17
Grota_Rowecki,Grota,Rowecki,17
Tadeusz_Gajcy,Tadeusz,Gajcy,17
Jędrzej_Śniadecki,Jędrzej,Śniadecki,17
Jan_Nowak-Jeziorański,Jan,Nowak-Jeziorański,17
Józef_Zajączk,Józef,Zajączk,17
Wojciech_Kilar,Wojciech,Kilar,17
Aniela_Krzywoń,Aniela,Krzywoń,16
Mieczysława_Ćwiklińska,Mieczysława,Ćwiklińska,16
Mariusz_Zaruski,Mariusz,Zaruski,16
Wojciech_Drzymała,Wojciech,Drzymała,16
Stanisław_Wigura,Stanisław,Wigura,16
Bernard_Sychty,Bernard,Sychty,16
Andrzej_Frycz-Modrzewski,Andrzej,Frycz-Modrzewski,16
Aleksander_Zelwerowicz,Aleksander,Zelwerowicz,16
Jan_Dekert,Jan,Dekert,16
Kazimierz_Wierzyński,Kazimierz,Wierzyński,16
Hipolit_Cegielski,Hipolit,Cegielski,16
Władysław_Szafer,Władysław,Szafer,16
Stanisław_Wojciechowski,Stanisław,Wojciechowski,16
Kazimierz_Brodziński,Kazimierz,Brodziński,16
1-go_Maj,1-go,Maj,16
Anna_Walentynowicz,Anna,Walentynowicz,16
Feliks_Stamm,Feliks,Stamm,15
Stanisław_Sosabowski,Stanisław,Sosabowski,15
Bolesław_Domański,Bolesław,Domański,15
Cyprian_Godebski,Cyprian,Godebski,15
Henryk_Rodakowski,Henryk,Rodakowski,15
Karol_Chodkiewicz,Karol,Chodkiewicz,15
Józef_Pankiewicz,Józef,Pankiewicz,15
August_Cieszkowski,August,Cieszkowski,14
Dezydery_Chłapowski,Dezydery,Chłapowski,14
Króla_Władysława Jagiełły,Króla,Władysława Jagiełły,14
Andrzej_Boboli,Andrzej,Boboli,14
Maria_Pawlikowska-Jasnorzewska,Maria,Pawlikowska-Jasnorzewska,14
Stanisław_Witkiewicz,Stanisław Ignacy,Witkiewicz,14
Karol_Libelt,Karol,Libelt,14
Zygmunt_Sierakowski,Zygmunt,Sierakowski,14
Michał_Bałucki,Michał,Bałucki,14
Seweryna_Goszczyński,Seweryna,Goszczyński,14
Emilia_Sczaniecka,Emilia,Sczaniecka,14
Jan_Pask,Jan Chryzostom,Pask,14
Emil_Zegadłowicz,Emil,Zegadłowicz,14
Antoni_Słonimski,Antoni,Słonimski,14
Alfons_Zgrzebniok,Alfons,Zgrzebniok,14
Norbert_Bończyk,Norbert,Bończyk,14
Edmund_Bojanowski,Edmund,Bojanowski,14
Józef_Rymer,Józef,Rymer,14
Lecha_Kaczyński,Lecha,Kaczyński,14
Braci_Gierymskich,Braci,Gierymskich,13
Kazimierz_Deyny,Kazimierz,Deyny,13
Tadeusz_Kotarbiński,Tadeusz,Kotarbiński,13
Jan_Ostroróg,Jan,Ostroróg,13
C._Norwid,C. K.,Norwid,13
Jerzy_Szaniawski,Jerzy,Szaniawski,13
Stanisław_Kunicki,Stanisław,Kunicki,13
Fryderyk_Szopen,Fryderyk,Szopen,13
August_Hlond,August,Hlond,13
