person,personLabel,occupationLabel
http://www.wikidata.org/entity/Q1681919,Jan Kacper Heurich,architekt
http://www.wikidata.org/entity/Q1682174,Jan Rosen,malarz
http://www.wikidata.org/entity/Q1692977,Jan Chrystian Szuch,architekt
http://www.wikidata.org/entity/Q1692977,Jan Chrystian Szuch,ogrodnik
http://www.wikidata.org/entity/Q1712759,Juliusz Kolberg,tłumacz
http://www.wikidata.org/entity/Q1712759,Juliusz Kolberg,nauczyciel akademicki
http://www.wikidata.org/entity/Q1712759,Juliusz Kolberg,kartograf
http://www.wikidata.org/entity/Q1712759,Juliusz Kolberg,geodeta
http://www.wikidata.org/entity/Q1874522,Ludwik Spiess,farmaceuta
http://www.wikidata.org/entity/Q2089967,Gabriela Kownacka,aktor
http://www.wikidata.org/entity/Q2089967,Gabriela Kownacka,aktor filmowy
http://www.wikidata.org/entity/Q2331380,Stanisław Lorentz,polityk
http://www.wikidata.org/entity/Q2331380,Stanisław Lorentz,historyk
http://www.wikidata.org/entity/Q2331380,Stanisław Lorentz,nauczyciel akademicki
http://www.wikidata.org/entity/Q2331380,Stanisław Lorentz,historyk sztuki
http://www.wikidata.org/entity/Q2417424,Teodor Bursche,architekt
http://www.wikidata.org/entity/Q2569644,Wiesław Wernic,pisarz
http://www.wikidata.org/entity/Q2569644,Wiesław Wernic,autor
http://www.wikidata.org/entity/Q2569644,Wiesław Wernic,dziennikarz
http://www.wikidata.org/entity/Q3848163,Stefan Korboński,adwokat
http://www.wikidata.org/entity/Q3848163,Stefan Korboński,polityk
http://www.wikidata.org/entity/Q3848163,Stefan Korboński,publicysta
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,scenarzysta
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,pisarz
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,adwokat
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,poeta
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,tłumacz
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,esperantysta
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,poeta i prawnik
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,dziennikarz
http://www.wikidata.org/entity/Q3891877,Leopold Blumental,krytyk literacki
http://www.wikidata.org/entity/Q4053767,Józef Joniec,kapłan
http://www.wikidata.org/entity/Q4109573,Q4109573,oficer
http://www.wikidata.org/entity/Q4191523,Romuald Zerych,rzeźbiarz
http://www.wikidata.org/entity/Q4299363,Barbara Modelska,aktor
http://www.wikidata.org/entity/Q4398629,Stanisław Rotwand,bankier
http://www.wikidata.org/entity/Q11847,Antoni Grabowski,pisarz
http://www.wikidata.org/entity/Q11847,Antoni Grabowski,poeta
http://www.wikidata.org/entity/Q11847,Antoni Grabowski,tłumacz
http://www.wikidata.org/entity/Q11847,Antoni Grabowski,chemik
http://www.wikidata.org/entity/Q11847,Antoni Grabowski,esperantysta
http://www.wikidata.org/entity/Q11847,Antoni Grabowski,inżynier chemik
http://www.wikidata.org/entity/Q26737,Józef Gosławski,rzeźbiarz
http://www.wikidata.org/entity/Q26737,Józef Gosławski,karykaturzysta
http://www.wikidata.org/entity/Q26737,Józef Gosławski,projektant
http://www.wikidata.org/entity/Q49423,Teodor Waga,historyk
http://www.wikidata.org/entity/Q49423,Teodor Waga,pijar
http://www.wikidata.org/entity/Q55165,Krzysztof Kieślowski,scenarzysta
http://www.wikidata.org/entity/Q55165,Krzysztof Kieślowski,autor
http://www.wikidata.org/entity/Q55165,Krzysztof Kieślowski,reżyser filmowy
http://www.wikidata.org/entity/Q55738,Bogusław Kaczyński,krytyk muzyczny
http://www.wikidata.org/entity/Q55738,Bogusław Kaczyński,Teoretyk muzyki
http://www.wikidata.org/entity/Q55743,Jacek Kuroń,polityk
http://www.wikidata.org/entity/Q55743,Jacek Kuroń,historyk
http://www.wikidata.org/entity/Q55743,Jacek Kuroń,działacz związkowy
http://www.wikidata.org/entity/Q55761,Irena Kwiatkowska,aktor teatralny
http://www.wikidata.org/entity/Q55761,Irena Kwiatkowska,aktor filmowy
http://www.wikidata.org/entity/Q55766,Zygmunt Kęstowicz,aktor
http://www.wikidata.org/entity/Q55766,Zygmunt Kęstowicz,aktor telewizyjny
http://www.wikidata.org/entity/Q55844,Stanisław Wojciechowski,polityk
http://www.wikidata.org/entity/Q55844,Stanisław Wojciechowski,matematyk
http://www.wikidata.org/entity/Q73666,Janusz Dziewoński,aktor
http://www.wikidata.org/entity/Q73666,Janusz Dziewoński,reżyser teatralny
http://www.wikidata.org/entity/Q75334,Tekla Trapszo,aktor
http://www.wikidata.org/entity/Q75334,Tekla Trapszo,aktor filmowy
http://www.wikidata.org/entity/Q75675,Władysław Walter,aktor
http://www.wikidata.org/entity/Q75675,Władysław Walter,piosenkarz
http://www.wikidata.org/entity/Q75678,Zbigniew Sawan,aktor
http://www.wikidata.org/entity/Q75678,Zbigniew Sawan,reżyser teatralny
http://www.wikidata.org/entity/Q82780,Czesław Skonieczny,aktor
http://www.wikidata.org/entity/Q82780,Czesław Skonieczny,aktor filmowy
http://www.wikidata.org/entity/Q82956,Wiktor Biegański,scenarzysta
http://www.wikidata.org/entity/Q82956,Wiktor Biegański,aktor teatralny
http://www.wikidata.org/entity/Q82956,Wiktor Biegański,reżyser filmowy
http://www.wikidata.org/entity/Q82956,Wiktor Biegański,producent filmowy
http://www.wikidata.org/entity/Q82956,Wiktor Biegański,aktor filmowy
http://www.wikidata.org/entity/Q82959,Zula Pogorzelska,aktor
http://www.wikidata.org/entity/Q82959,Zula Pogorzelska,piosenkarz
http://www.wikidata.org/entity/Q82959,Zula Pogorzelska,aktor filmowy
http://www.wikidata.org/entity/Q84946,Igo Sym,aktor teatralny
http://www.wikidata.org/entity/Q84946,Igo Sym,aktor filmowy
http://www.wikidata.org/entity/Q104495,Adolf Schimmelpfennig,architekt
http://www.wikidata.org/entity/Q114556,Maria Chmurkowska,aktor
http://www.wikidata.org/entity/Q114556,Maria Chmurkowska,aktor filmowy
http://www.wikidata.org/entity/Q117305,Wojciech Rubinowicz,fizyk
http://www.wikidata.org/entity/Q117305,Wojciech Rubinowicz,nauczyciel akademicki
http://www.wikidata.org/entity/Q119455,Jerzy Hryniewiecki,architekt
http://www.wikidata.org/entity/Q119455,Jerzy Hryniewiecki,polityk
http://www.wikidata.org/entity/Q119455,Jerzy Hryniewiecki,urbanista
http://www.wikidata.org/entity/Q119455,Jerzy Hryniewiecki,oficer
