person,personLabel,occupationLabel
http://www.wikidata.org/entity/Q21288230,Włodzimierz Rutkowski,malarz
http://www.wikidata.org/entity/Q22114990,Janina Schoenbrenner,historyk
http://www.wikidata.org/entity/Q23071692,Aleksander Jałosiński,fotograf
http://www.wikidata.org/entity/Q23943576,Włodzimierz Falcman,
http://www.wikidata.org/entity/Q23943715,Alina Scholtz,architekt
http://www.wikidata.org/entity/Q24263100,Efraim Brenn,mincerz
http://www.wikidata.org/entity/Q26263251,Zofia Lorentz,pisarz
http://www.wikidata.org/entity/Q27956519,Wacław Szurig,ekonomista
http://www.wikidata.org/entity/Q27971169,Stanisław Wellisz,ekonomista
http://www.wikidata.org/entity/Q28155172,Wacław Prochnau,
http://www.wikidata.org/entity/Q42392732,Karol Pflugbeil,inżynier budownictwa
http://www.wikidata.org/entity/Q42392779,Edward Petzold,malarz
http://www.wikidata.org/entity/Q42392784,Karol Jan Szlenkier,biznesmen
http://www.wikidata.org/entity/Q47016775,Irena Wilhelmina Łukomska,nauczyciel
http://www.wikidata.org/entity/Q47544614,Ludwik Fryderyk Hildt,malarz
http://www.wikidata.org/entity/Q47544614,Ludwik Fryderyk Hildt,entomolog
http://www.wikidata.org/entity/Q72207,Henryka Beyer,malarz
http://www.wikidata.org/entity/Q93093,Jacek Karpiński,inżynier
http://www.wikidata.org/entity/Q93093,Jacek Karpiński,informatyk
http://www.wikidata.org/entity/Q129315,Tola Mankiewiczówna,aktor
http://www.wikidata.org/entity/Q129315,Tola Mankiewiczówna,piosenkarz
http://www.wikidata.org/entity/Q129315,Tola Mankiewiczówna,śpiewak operowy
http://www.wikidata.org/entity/Q129315,Tola Mankiewiczówna,aktor filmowy
http://www.wikidata.org/entity/Q266056,Władysław Marconi,architekt
http://www.wikidata.org/entity/Q298022,Anna German,kompozytor
http://www.wikidata.org/entity/Q298022,Anna German,piosenkarz
http://www.wikidata.org/entity/Q327738,Józef Simmler,malarz
http://www.wikidata.org/entity/Q335092,Jan Niecisław Baudouin de Courtenay,profesor
http://www.wikidata.org/entity/Q335092,Jan Niecisław Baudouin de Courtenay,filolog
http://www.wikidata.org/entity/Q335092,Jan Niecisław Baudouin de Courtenay,językoznawca
http://www.wikidata.org/entity/Q335092,Jan Niecisław Baudouin de Courtenay,esperantolog
http://www.wikidata.org/entity/Q366040,Stefan Żeromski,pisarz
