cemetery,cemeteryLabel,adm_location,adm_locationLabel,location
http://www.wikidata.org/entity/Q8512079,Cmentarz żydowski w Lipsku (powiat augustowski),http://www.wikidata.org/entity/Q995145,Lipsk,Point(23.3994 53.7375)
http://www.wikidata.org/entity/Q8512082,Cmentarz żydowski w Stawiskach,http://www.wikidata.org/entity/Q1906278,Stawiski,Point(22.1642 53.3703)
http://www.wikidata.org/entity/Q8512085,Cmentarz wojenny nr 119 - Staszkówka,http://www.wikidata.org/entity/Q7602958,Staszkówka,Point(21.022777777 49.751777777)
http://www.wikidata.org/entity/Q8512089,Cmentarz wojenny nr 117 - Staszkówka,http://www.wikidata.org/entity/Q7602958,Staszkówka,Point(21.0156 49.7571)
http://www.wikidata.org/entity/Q8512095,Cmentarz żydowski w Bieżuniu,http://www.wikidata.org/entity/Q858312,Bieżuń,Point(19.8978 52.9544)
http://www.wikidata.org/entity/Q8512098,Cmentarz żydowski w Brzostku,http://www.wikidata.org/entity/Q776418,Brzostek,Point(21.4058 49.8903)
http://www.wikidata.org/entity/Q8512102,Cmentarz wojenny nr 303 - Rajbrot,http://www.wikidata.org/entity/Q3569396,Rajbrot,Point(20.465 49.8351)
http://www.wikidata.org/entity/Q8512105,Cmentarz żydowski w Grabowie nad Prosną,http://www.wikidata.org/entity/Q206125,Grabów nad Prosną,Point(18.1203 51.5281)
http://www.wikidata.org/entity/Q8512110,Cmentarz wojenny nr 399 - Prusy,http://www.wikidata.org/entity/Q7253178,Prusy,Point(20.081 50.1093)
http://www.wikidata.org/entity/Q8512113,Cmentarz wojenny nr 400 - Prusy,http://www.wikidata.org/entity/Q7253178,Prusy,Point(20.0907 50.1175)
http://www.wikidata.org/entity/Q8512117,Cmentarz wojenny nr 390 - Mogiła,http://www.wikidata.org/entity/Q31487,Kraków,Point(20.0513 50.0699)
http://www.wikidata.org/entity/Q8512121,Cmentarz wojenny nr 357 - Kamionka Mała,http://www.wikidata.org/entity/Q6358418,Kamionka Mała,Point(20.4848 49.7865)
http://www.wikidata.org/entity/Q8512125,Cmentarz Komunalny w Radomiu,http://www.wikidata.org/entity/Q104740,Radom,Point(21.1556 51.4519)
http://www.wikidata.org/entity/Q8512129,Cmentarz wojenny nr 364 - Kasina Wielka,http://www.wikidata.org/entity/Q749921,Kasina Wielka,Point(20.1499 49.7192)
http://www.wikidata.org/entity/Q8512133,Cmentarz wojenny nr 359 - Jaworzna,http://www.wikidata.org/entity/Q6166206,Jaworzna,Point(20.4766 49.74)
http://www.wikidata.org/entity/Q8512142,Cmentarz wojenny nr 384 - Łagiewniki,http://www.wikidata.org/entity/Q31487,Kraków,Point(19.938333333 50.019722222)
http://www.wikidata.org/entity/Q8512148,Cmentarz wojenny nr 386 - Podgórze,http://www.wikidata.org/entity/Q31487,Kraków,Point(19.9606 50.0362)
